individuo,experimento,dia,mo2
E1,Tratamiento,dia1,11.59087339
E1,Tratamiento,dia2,37.80003288
E1,Tratamiento,dia3,29.1781348
E1,Tratamiento,dia4,17.71313321
E1,Tratamiento,dia5,76.45572094
E1,Tratamiento,dia6,23.36295733
E2,Tratamiento,dia1,17.3408486
E2,Tratamiento,dia2,19.9418609
E2,Tratamiento,dia3,10.48374601
E2,Tratamiento,dia4,14.59124023
E2,Tratamiento,dia5,37.88850397
E2,Tratamiento,dia6,33.50535539
E3,Tratamiento,dia1,27.18120799
E3,Tratamiento,dia2,22.20481541
E3,Tratamiento,dia3,40.42784818
E3,Tratamiento,dia4,37.72035285
E3,Tratamiento,dia5,31.37069096
E3,Tratamiento,dia6,16.36193243
E4,Tratamiento,dia1,14.57098687
E4,Tratamiento,dia2,27.98164824
E4,Tratamiento,dia3,4.030276464
E4,Tratamiento,dia4,18.0557575
E4,Tratamiento,dia5,58.21891789
E4,Tratamiento,dia6,7.360292654
E5,Tratamiento,dia1,15.27568681
E5,Tratamiento,dia2,36.73682589
E5,Tratamiento,dia3,29.09753401
E5,Tratamiento,dia4,25.43934183
E5,Tratamiento,dia5,23.990474
E5,Tratamiento,dia6,34.88824826
E6,Tratamiento,dia1,22.57697739
E6,Tratamiento,dia2,36.15827097
E6,Tratamiento,dia3,15.42906231
E6,Tratamiento,dia4,42.45643159
E6,Tratamiento,dia5,67.61743314
E6,Tratamiento,dia6,31.82150456
E7,Tratamiento,dia1,46.3880355
E7,Tratamiento,dia2,1.557564762
E7,Tratamiento,dia3,49.12351586
E7,Tratamiento,dia4,36.11131082
E7,Tratamiento,dia5,66.46957737
E7,Tratamiento,dia6,22.22346967
E8,Tratamiento,dia1,24.84501383
E8,Tratamiento,dia2,32.19567993
E8,Tratamiento,dia3,40.83474382
E8,Tratamiento,dia4,10.78142921
E8,Tratamiento,dia5,54.19596424
E8,Tratamiento,dia6,32.46602124
E9,Tratamiento,dia1,NA
E9,Tratamiento,dia2,48.9929486
E9,Tratamiento,dia3,26.5776532
E9,Tratamiento,dia4,NA
E9,Tratamiento,dia5,55.95376958
E9,Tratamiento,dia6,43.52657763
E10,Tratamiento,dia1,13.23658614
E10,Tratamiento,dia2,15.12997414
E10,Tratamiento,dia3,1.91894165
E10,Tratamiento,dia4,13.4984193
E10,Tratamiento,dia5,33.5604396
E10,Tratamiento,dia6,13.88806307
E1,Control,dia1,50.49157541
E1,Control,dia2,32.70768494
E1,Control,dia3,50.20171103
E1,Control,dia4,26.87945899
E1,Control,dia5,51.97711229
E1,Control,dia6,108.4865076
E2,Control,dia1,30.10467412
E2,Control,dia2,65.85821836
E2,Control,dia3,71.22812872
E2,Control,dia4,89.40481128
E2,Control,dia5,79.45499479
E2,Control,dia6,124.9166421
E3,Control,dia1,42.64847766
E3,Control,dia2,55.56436132
E3,Control,dia3,22.40128036
E3,Control,dia4,42.23465528
E3,Control,dia5,72.39947971
E3,Control,dia6,119.5792816
E4,Control,dia1,36.21493713
E4,Control,dia2,26.88031685
E4,Control,dia3,48.94623646
E4,Control,dia4,40.74117833
E4,Control,dia5,67.84126085
E4,Control,dia6,60.35708768
E5,Control,dia1,38.04871956
E5,Control,dia2,72.83197191
E5,Control,dia3,84.41590126
E5,Control,dia4,53.490966
E5,Control,dia5,88.93930598
E5,Control,dia6,123.1290298
E6,Control,dia1,33.48086867
E6,Control,dia2,21.36966704
E6,Control,dia3,18.63843805
E6,Control,dia4,42.18008914
E6,Control,dia5,65.89644773
E6,Control,dia6,35.9086266
E7,Control,dia1,40.55573474
E7,Control,dia2,25.35788572
E7,Control,dia3,34.63428515
E7,Control,dia4,46.72057467
E7,Control,dia5,51.63978261
E7,Control,dia6,48.47310023
E8,Control,dia1,38.73581681
E8,Control,dia2,35.95519689
E8,Control,dia3,53.07369199
E8,Control,dia4,47.73751097
E8,Control,dia5,60.20090788
E8,Control,dia6,62.10672117
E9,Control,dia1,33.49546131
E9,Control,dia2,56.0671293
E9,Control,dia3,58.3465956
E9,Control,dia4,41.90984788
E9,Control,dia5,41.1194184
E9,Control,dia6,124.9183073
E10,Control,dia1,35.03314931
E10,Control,dia2,57.24717637
E10,Control,dia3,73.75912114
E10,Control,dia4,42.03360378
E10,Control,dia5,75.1579128
E10,Control,dia6,191.9903198
